mood,valence,instrumentalness,acousticness,liveness,energy,speechiness,danceability
2,0.466,0.0304,0.555,0.676,0.0951,0.461,0
2,0.278,0.0299,0.697,0.554,0.0876,0.326,0
2,0.234,0.0367,0.518,0.637,0.124,0.513,0
2,0.213,0.0308,0.0529,0.4,0.115,0.479,2.14E-06
2,0.509,0.0412,0.797,0.62,0.195,0.379,0
2,0.393,0.0674,0.214,0.4,0.0656,0.641,0
2,0.191,0.0358,0.933,0.582,0.132,0.231,4.16E-06
2,0.428,0.032,0.648,0.55,0.249,0.548,1.92E-06
2,0.3,0.0528,0.338,0.362,0.139,0.54,0
2,0.28,0.0555,0.834,0.573,0.108,0.17,3.08E-06
2,0.333,0.163,0.728,0.453,0.387,0.383,0
2,0.401,0.0394,0.227,0.595,0.103,0.667,0
2,0.528,0.0458,0.962,0.547,0.101,0.222,9.31E-05
2,0.27,0.0333,0.584,0.357,0.322,0.425,0
2,0.261,0.0446,0.587,0.548,0.121,0.474,0
2,0.228,0.0347,0.932,0.322,0.149,0.231,0.00076
2,0.169,0.051,0.952,0.379,0.118,0.29,0.00106
2,0.261,0.0524,0.911,0.395,0.166,0.331,2.57E-06
2,0.241,0.0406,0.223,0.661,0.116,0.517,0
2,0.296,0.036,0.942,0.512,0.106,0.204,0
2,0.454,0.0259,0.0157,0.609,0.0864,0.692,0
2,0.131,0.04,0.695,0.445,0.0944,0.537,1.65E-05
2,0.197,0.0404,0.748,0.563,0.0714,0.382,0
2,0.528,0.0435,0.88,0.663,0.0932,0.251,0
2,0.21,0.0815,0.843,0.467,0.0913,0.359,0
2,0.151,0.0575,0.731,0.445,0.124,0.455,1.47E-06
2,0.249,0.0322,0.981,0.44,0.111,0.04,0.465
2,0.483,0.0296,0.77,0.508,0.0887,0.417,0.0928
2,0.087,0.0649,0.948,0.571,0.322,0.0274,6.43E-06
2,0.15,0.0364,0.955,0.436,0.106,0.255,3.28E-05
2,0.1,0.0431,0.521,0.408,0.0732,0.338,0.000639
2,0.158,0.0335,0.602,0.5,0.137,0.373,0
2,0.125,0.0504,0.833,0.364,0.264,0.294,0
2,0.456,0.0318,0.813,0.629,0.169,0.312,0
2,0.548,0.0361,0.78,0.562,0.094,0.403,0
2,0.323,0.0286,0.24,0.546,0.122,0.442,0
2,0.13,0.0282,0.578,0.604,0.133,0.366,0
2,0.307,0.0417,0.845,0.543,0.11,0.23,0
2,0.551,0.0414,0.782,0.68,0.11,0.406,0.00019
2,0.544,0.0391,0.355,0.509,0.0739,0.619,0
