mood,speechiness,energy,valence,liveness,instrumentalness,acousticness,danceability
1,0.855,0.0377,0.0615,0.873,0.884,0.179,0.0285
2,0.389,0,0.302,0.105,0.526,0.0645,0.777
4,0.0342,0.634,0.599,0.0998,0.147,0.0364,0.636
3,0.562,0.0697,0.00141,0.162,0.604,0.00005,0.831
1,0.157,0.524,0.397,0.343,0.103,0,0.607
3,0.801,0.00013,0.711,0.7,0.215,0.046,0.00498
4,0.0319,0.206,0.13,0.385,0.453,0.94,0.543
2,0.087,0.0649,0.948,0.571,0.322,0.0274,0.00001
1,0.672,0.061,0.0619,0.814,0.933,0.0435,0
3,0.6,0.00138,0.735,0.766,0.108,0.0383,0.025
2,0.137,0.0578,0.768,0.561,0.106,0.431,0.00001
3,0.654,0,0.663,0.861,0.082,0.109,0.0338
3,0.559,0.0471,0,0.188,0.576,0.00599,0.872
3,0.213,0.0006,0.495,0.894,0.103,0.0441,0.00453
3,0.742,0,0.72,0.763,0.18,0.0523,0.406
4,0.102,0.577,0.389,0.112,0.427,0.673,0.605
1,0.101,0.662,0.86,0.657,0.0819,0.00001,0.0809
1,0.0971,0.688,0.762,0.895,0.073,0.0027,0.16
4,0.458,0.604,0.454,0.236,0.191,0.103,0
3,0.0951,0.833,0.112,0.00006,0.643,0.809,0.0295
4,0.105,0.614,0.689,0.104,0.00323,0.566,0.716
3,0.0486,0.817,0.00272,0,0.506,0.506,0.0335
2,0.13,0.0282,0.578,0.604,0.133,0.366,0
4,0.882,0.591,0.416,0.112,0.415,0.0246,0.00064
2,0.113,0.0481,0.763,0.482,0.344,0.43,0
2,0.232,0.0316,0.286,0.534,0.0889,0.493,0
4,0.3,0.545,0.485,0.119,0.341,0.151,0.00137
3,0.31,0.0282,0,0.635,0.367,0.0355,0.386
3,0.777,0.0783,0,0.332,0.52,0.00014,0.86
4,0.137,0.652,0.555,0.09,0.107,0.032,0.00002
1,0.763,0.077,0.0534,0.776,0.82,0.182,0.00647
2,0.278,0.0299,0.697,0.554,0.0876,0.326,0
3,0.755,0.0541,0,0.174,0.44,0.00131,0.751
1,0.1,0.583,0.845,0.842,0.0773,0.00054,0.114
3,0.542,0.0604,0,0.103,0.56,0.00249,0.903
4,0.435,0.457,0.421,0.884,0.00012,0.912,0.252
1,0.108,0.711,0.75,0.567,0.119,0.0053,0.707
1,0.199,0.664,0.715,0.469,0.0366,0.0319,0.00371
3,0.557,0.767,0.138,0,0.866,0.772,0.0381
4,0.0471,0.505,0.0736,0.111,0,0.661,0.442
1,0.645,0.715,0.0634,0.611,0.748,0.724,0
4,0.543,0.529,0.351,0.0851,0.529,0.0368,0
3,0.264,0.432,0.0882,0,0.256,0.362,0.112
2,0.159,0.153,0.174,0.0843,0.411,0.0484,0.188
4,0.418,0.495,0.65,0.108,0.16,0.0385,0.00005
3,0.471,0.00001,0.461,0.834,0.14,0.0989,0.0232
4,0.407,0.624,0.393,0.118,0.728,0.0333,0
2,0.551,0.0414,0.782,0.68,0.11,0.406,0.00019
1,0.501,0.0467,0.0551,0.751,0.902,0.234,0.112
1,0.186,0.718,0.801,0.758,0.0421,0.0331,0.0932
4,0.929,0.54,0.135,0.0654,0.121,0.0374,0
3,0.724,0,0.721,0.802,0.694,0.0583,0.0921
1,0.0672,0.525,0.927,0.778,0.0667,0.238,0.274
4,0.889,0.367,0.189,0.364,0.177,0.0384,0.428
3,0.969,0,0.866,0.813,0.0779,0.0554,0.38
3,0.695,0,0.759,0.459,0.0788,0.0948,0.00323
3,0.714,0.00005,0.696,0.921,0.0842,0.0363,0.00314
2,0.307,0.0346,0.926,0.632,0.294,0.349,0.00007
1,0.131,0.838,0.448,0.254,0.0557,0.00013,0.21
1,0.571,0.0781,0.0501,0.895,0.933,0.208,0
3,0.743,0,0.687,0.761,0.147,0.0876,0.102
3,0.149,0.717,0.0842,0,0.494,0.837,0.0822
4,0.322,0.702,0.623,0.0858,0.503,0.0417,0
1,0.544,0.103,0.0326,0.678,0.963,0.668,0.00001
4,0.506,0.736,0.449,0.117,0.487,0.0633,0.00007
1,0.115,0.666,0.689,0.197,0.0391,0,0.557
4,0.0321,0.399,0.144,0.13,0.583,0.471,0.312
2,0.225,0,0.701,0.0726,0.485,0.0365,0.311
3,0.804,0.0894,0,0.204,0.564,0.0179,0.833
1,0.487,0.0852,0.0303,0.73,0.731,0.258,0.01
2,0.191,0,0.701,0.0853,0.422,0.195,0.559
3,0.654,0,0.527,0.835,0.249,0.0433,0.0166
1,0.175,0.445,0.686,0.626,0.0398,0.00144,0.484
3,0.159,0.769,0.105,0.256,0.413,0.687,0.0464
3,0.157,0.609,0.0706,0,0.627,0.688,0.0495
2,0.241,0.0406,0.223,0.661,0.116,0.517,0
2,0.364,0,0.873,0.115,0.355,0.0263,0.646
3,0.288,0.782,0.357,0.571,0.502,0.844,0.173
4,0.0321,0.394,0.106,0.117,0.0017,0.147,0.613
4,0.87,0.567,0.395,0.106,0.329,0.0303,0
2,0.42,0.0594,0.738,0.485,0.0801,0.396,0
4,0.818,0.68,0.34,0.285,0.418,0.034,0
3,0.942,0,0.647,0.8,0.334,0.165,0.0647
3,0.0733,0.694,0.254,0,0.578,0.614,0.0932
2,0.432,0,0.507,0.212,0.576,0.0519,0.584
4,0.113,0.423,0.279,0.105,0,0.757,0.658
4,0.0436,0.302,0.174,0.116,0,0.879,0.409
3,0.453,0.0289,0.00114,0.132,0.579,0.00013,0.678
1,0.626,0.153,0.0335,0.836,0.898,0.0943,0.742
1,0.57,0.198,0.0393,0.556,0.304,0.0118,0.00053
3,0.429,0.0316,0.00062,0.199,0.569,0.00016,0.884
1,0.112,0.684,0.584,0.72,0.567,0.00009,0.312
2,0.165,0.0281,0.748,0.371,0.104,0.268,0.0517
1,0.612,0.0571,0.0852,0.814,0.681,0.0931,0.0149
1,0.828,0.0839,0.0462,0.72,0.768,0.185,0.429
1,0.105,0.492,0.485,0.876,0.331,0,0.425
1,0.0731,0.89,0.635,0.533,0.0769,0,0.00491
2,0.152,0.0309,0.528,0.331,0.109,0.341,0
1,0.41,0.174,0.0343,0.79,0.815,0.263,0.00314
4,0.0758,0.345,0.625,0.112,0.336,0.0444,0
2,0.125,0.0504,0.833,0.364,0.264,0.294,0
1,0.3,0.824,0.616,0.206,0.128,0.0257,0.00658
3,0.721,0.00001,0.765,0.837,0.0801,0.032,0.00107
1,0.151,0.473,0.788,0.687,0.0893,0,0.164
1,0.521,0.0723,0.115,0.667,0.856,0.202,0.00007
3,0.0904,0.844,0.0766,0,0.246,0.634,0.042
3,0.886,0,0.637,0.93,0.452,0.0511,0.0177
3,0.891,0,0.768,0.864,0.162,0.0324,0.101
2,0.199,0.00073,0.178,0.116,0.665,0.0644,0.389
1,0.22,0.61,0.774,0.644,0.293,0,0.237
1,0.305,0.895,0.67,0.897,0.0352,0.0322,0.0943
3,0.958,0.0387,0,0.178,0.75,0.00165,0.608
1,0.0684,0.71,0.735,0.507,0.0766,0.762,0.00851
4,0.961,0.521,0.265,0.0676,0.392,0.0319,0.133
4,0.814,0.576,0.453,0.267,0.418,0.0294,0
1,0.372,0.843,0.73,0.658,0.0528,0,0.186
4,0.962,0.424,0.437,0.664,0.131,0.0355,0.336
1,0.422,0.182,0.0546,0.877,0.97,0.04,0.00041
4,0.0357,0.304,0.134,0.108,0.00146,0.793,0.577
1,0.0763,0.856,0.739,0.589,0.0746,0,0.0228
3,0.346,0,0.555,0.772,0.105,0.0523,0.315
3,0.714,0,0.755,0.837,0.289,0.142,0.0991
2,0.544,0.0391,0.355,0.509,0.0739,0.619,0
3,0.87,0,0.691,0.823,0.134,0.0623,0.487
3,0.546,0,0.737,0.846,0.0486,0.22,0.00614
4,0.371,0.443,0.533,0.128,0.201,0.0396,0
4,0.968,0.425,0.257,0.115,0.341,0.0321,0.0181
3,0.924,0.025,0.774,0.838,0.242,0.114,0.0249
4,0.0299,0.275,0.211,0.111,0.00002,0.929,0.525
3,0.332,0.162,0.00002,0.135,0.411,0.00439,0.876
1,0.0805,0.539,0.884,0.776,0.208,0,0.239
2,0.464,0,0.312,0.179,0.714,0.121,0.662
2,0.0517,0.0104,0.917,0.0827,0.219,0.0358,0.38
3,0.121,0.842,0.297,0,0.572,0.771,0.0659
3,0.0863,0.821,0.0189,0,0.184,0.557,0.0573
3,0.247,0.623,0.0468,0,0.156,0.443,0.0718
1,0.768,0.107,0.0482,0.818,0.922,0.289,0
3,0.801,0.00001,0.773,0.747,0.109,0.0885,0.0242
4,0.0456,0.441,0.286,0.188,0.00004,0.874,0.447
1,0.0622,0.775,0.746,0.594,0.122,0.00055,0.629
1,0.328,0.947,0.629,0.659,0.0592,0.0262,0.0856
2,0.152,0,0.528,0.109,0.341,0.0309,0.331
4,0.89,0.623,0.276,0.146,0.308,0.0287,0
2,0.421,0,0.698,0.123,0.674,0.0446,0.56
2,0.256,0.0334,0.881,0.405,0.0933,0.279,0
3,0.425,0.0371,0,0.12,0.462,0.00043,0.924
1,0.0433,0.735,0.707,0.762,0.0362,0.00005,0.00896
2,0.0735,0.349,0.885,0.094,0.122,0.0349,0.264
3,0.221,0,0.654,0.655,0.139,0.106,0.0294
4,0.036,0.408,0.663,0.069,0.00023,0.747,0.732
1,0.656,0.0504,0.0336,0.773,0.966,0.612,0.00185
1,0.236,0.729,0.771,0.689,0.0372,0.00452,0.313
1,0.0921,0.482,0.717,0.321,0.0465,0.00023,0.564
3,0.537,0.00003,0.807,0.893,0.366,0.0347,0.0451
2,0.493,0,0.00162,0.354,0.639,0.0435,0.628
2,0.528,0.0435,0.88,0.663,0.0932,0.251,0
3,0.643,0.0012,0.532,0.783,0.161,0.0523,0.0038
1,0.558,0.0546,0.041,0.805,0.965,0.164,0.00002
4,0.515,0.548,0.483,0.0922,0.166,0.0268,0.0674
1,0.0778,0.53,0.722,0.846,0.118,0.822,0.0846
1,0.0807,0.466,0.667,0.819,0.176,0,0.703
2,0.174,0.0295,0.901,0.45,0.108,0.33,0.0042
4,0.945,0.413,0.272,0.112,0.354,0.0317,0.0271
2,0.246,0.0294,0.886,0.445,0.128,0.232,0
3,0.608,0.0872,0.00002,0.29,0.514,0.00031,0.949
1,0.126,0.569,0.657,0.399,0.0542,0.00001,0.201
4,0.881,0.498,0.418,0.113,0.796,0.0539,0
1,0.801,0.328,0.0565,0.458,0.93,0.691,0
4,0.0348,0.879,0.601,0.351,0.00021,0.00594,0.564
2,0.236,0,0.536,0.135,0.385,0.0288,0.522
3,0.474,0,0.632,0.773,0.0885,0.0346,0.0623
2,0.229,0.00002,0.149,0.109,0.562,0.0289,0.625
1,0.815,0.0515,0.0485,0.606,0.877,0.104,0.00566
1,0.175,0.416,0.776,0.54,0.381,0.00001,0.314
3,0.151,0.954,0.0188,0,0.89,0.692,0.0915
1,0.114,0.565,0.876,0.931,0.0333,0.0284,0.16
1,0.11,0.491,0.399,0.151,0.0538,0.00089,0.0563
4,0.682,0.494,0.632,0.0869,0.0797,0.0342,0
1,0.344,0.788,0.482,0.85,0.0432,0.00374,0.115
3,0.571,0,0.646,0.741,0.312,0.034,0.0275
1,0.587,0.177,0.038,0.718,0.423,0.00021,0.0396
4,0.918,0.563,0.261,0.0982,0.411,0.0709,0
4,0.697,0.53,0.346,0.105,0.359,0.0376,0.00001
1,0.113,0.738,0.695,0.512,0.0731,0,0.272
1,0.43,0.682,0.686,0.854,0.0459,0.0131,0.0443
1,0.762,0.0616,0.147,0.77,0.495,0.373,0.00002
3,0.164,0.0692,0,0.326,0.521,0.00976,0.956
1,0.701,0.0737,0.0288,0.706,0.961,0.192,0.00001
3,0.677,0.126,0,0.0606,0.481,0.00021,0.938
3,0.565,0.00007,0.737,0.636,0.35,0.0437,0.0441
2,0.213,0.0308,0.0529,0.4,0.115,0.479,0
3,0.847,0,0.641,0.922,0.0862,0.0786,0.0291
3,0.66,0,0.783,0.58,0.108,0.0408,0.0114
2,0.341,0,0.869,0.0881,0.449,0.611,0.684
1,0.599,0.107,0.0291,0.667,0.971,0.245,0
3,0.876,0,0.691,0.795,0.156,0.0355,0.00081
4,0.171,0.958,0.376,0.127,0.331,0.0523,0
2,0.53,0,0.811,0.175,0.22,0.0327,0.709
1,0.238,0.787,0.692,0.919,0.0305,0,0.0576
1,0.507,0.0671,0.0452,0.812,0.729,0.0399,0.0831
2,0.259,0,0.039,0.107,0.562,0.029,0.338
4,0.0323,0.628,0.826,0.0956,0.0303,0.0896,0.729
3,0.698,0,0.696,0.793,0.18,0.097,0.0683
2,0.119,0.00056,0.952,0.107,0.179,0.0396,0.445
2,0.174,0,0.817,0.0869,0.43,0.0302,0.383
2,0.454,0.0259,0.0157,0.609,0.0864,0.692,0
4,0.05,0.119,0.176,0.106,0.00035,0.962,0.323
1,0.68,0.31,0.0445,0.727,0.683,0.274,0
2,0.267,0,0.0153,0.133,0.624,0.113,0.586
1,0.56,0.0789,0.0895,0.881,0.925,0.269,0.00026
2,0.246,0.00002,0.818,0.107,0.311,0.0288,0.546
3,0.745,0.0413,0,0.0441,0.661,0.0388,0.887
4,0.458,0.774,0.466,0.111,0.396,0.0433,0
2,0.131,0.00002,0.695,0.0944,0.537,0.04,0.445
4,0.0352,0.195,0.381,0.11,0,0.873,0.461
4,0.0326,0.337,0.283,0.0869,0.117,0.955,0.367
2,0.18,0,0.687,0.101,0.275,0.3,0.492
4,0.0326,0.437,0.2,0.144,0.00335,0.786,0.586
4,0.0628,0.707,0.206,0.161,0.00012,0.384,0.717
2,0.323,0.0286,0.24,0.546,0.122,0.442,0
2,0.496,0.304,0.776,0.378,0.115,0.334,0
1,0.333,0.854,0.691,0.834,0.0674,0.00828,0.00183
1,0.0759,0.732,0.5,0.637,0.0418,0.0554,0.0004
2,0.158,0.0335,0.602,0.5,0.137,0.373,0
3,0.342,0.766,0.0141,0,0.0722,0.643,0.365
2,0.0886,0,0.726,0.12,0.348,0.0316,0.349
3,0.575,0.763,0.0571,0,0.5,0.594,0.0565
2,0.249,0.0322,0.981,0.44,0.111,0.04,0.465
2,0.341,0.0577,0.798,0.53,0.0928,0.281,0
4,0.033,0.368,0.23,0.148,0.00036,0.411,0.561
4,0.709,0.49,0.352,0.114,0.166,0.0254,0.0856
2,0.476,0,0.64,0.169,0.372,0.0432,0.681
2,0.206,0.0578,0.726,0.588,0.0965,0.39,0.00001
2,0.219,0.00004,0.964,0.0872,0.111,0.0369,0.405
3,0.575,0.00048,0.73,0.777,0.0691,0.0496,0.105
4,0.0372,0.469,0.33,0.106,0.00002,0.279,0.48
4,0.132,0.602,0.573,0.0936,0.00001,0.705,0.471
4,0.0269,0.482,0.335,0.078,0.00448,0.592,0.409
2,0.343,0,0.855,0.143,0.204,0.0504,0.507
4,0.0281,0.384,0.261,0.117,0.0565,0.775,0.662
2,0.446,0,0.751,0.105,0.405,0.0319,0.501
1,0.567,0.816,0.69,0.905,0.0656,0,0.0169
3,0.867,0,0.726,0.698,0.309,0.0431,0.049
1,0.308,0.583,0.751,0.688,0.0387,0.077,0.102
4,0.0362,0.537,0.612,0.0926,0.308,0.051,0
3,0.437,0,0.608,0.86,0.262,0.0554,0.0991
4,0.0501,0.442,0.278,0.0883,0,0.694,0.639
4,0.0364,0.338,0.0958,0.116,0.00093,0.878,0.337
2,0.308,0,0.434,0.097,0.629,0.0278,0.605
4,0.28,0.496,0.639,0.0975,0.305,0.055,0
1,0.0917,0.806,0.579,0.789,0.0323,0.00053,0.214
2,0.0779,0,0.0361,0.102,0.604,0.0296,0.657
4,0.0579,0.464,0.0559,0.111,0.00004,0.138,0.685
1,0.0705,0.646,0.876,0.832,0.0435,0.00195,0.422
1,0.826,0.366,0.0574,0.513,0.539,0.555,0.00003
4,0.0354,0.426,0.292,0.318,0,0.553,0.598
2,0.265,0,0.303,0.095,0.595,0.0496,0.376
4,0.16,0.381,0.502,0.0842,0.147,0.0368,0.00007
4,0.691,0.565,0.339,0.0982,0.461,0.0305,0
2,0.401,0.0394,0.227,0.595,0.103,0.667,0
2,0.8,0.00001,0.0483,0.104,0.631,0.0368,0.691
3,0.774,0,0.52,0.849,0.119,0.186,0.00253
4,0.031,0.416,0.506,0.153,0.00003,0.538,0.667
2,0.17,0,0.904,0.0897,0.2,0.0311,0.593
2,0.244,0,0.365,0.0963,0.545,0.0688,0.479
3,0.803,0.00762,0.671,0.916,0.24,0.0397,0.0282
2,0.0915,0,0.867,0.0945,0.146,0.0343,0.453
2,0.249,0,0.0724,0.0675,0.526,0.0251,0.512
1,0.485,0.0477,0.056,0.808,0.714,0.0761,0.00414
4,0.0521,0.38,0.768,0.126,0.00005,0.909,0.825
1,0.343,0.829,0.369,0.63,0.0789,0.0991,0.0684
1,0.624,0.0465,0.0565,0.862,0.882,0.0192,0.00015
2,0.386,0.04,0.896,0.507,0.0966,0.294,0.00002
4,0.161,0.55,0.415,0.108,0.274,0.052,0
1,0.04,0.786,0.603,0.763,0.0576,0,0.174
2,0.0678,0,0.643,0.149,0.465,0.0314,0.599
1,0.774,0.394,0.048,0.698,0.731,0.12,0
4,0.0277,0.434,0.208,0.0989,0.00055,0.757,0.545
3,0.647,0.0895,0,0.107,0.616,0.119,0.865
4,0.0894,0.659,0.687,0.362,0,0.176,0.674
1,0.714,0.651,0.0519,0.658,0.806,0.0294,0.00006
4,0.0382,0.372,0.273,0.104,0,0.882,0.577
2,0.263,0.0336,0.77,0.471,0.0729,0.396,0
4,0.712,0.677,0.401,0.116,0.195,0.0308,0
1,0.0919,0.547,0.766,0.35,0.0561,0.00001,0.389
4,0.3,0.648,0.607,0.163,0.356,0.0577,0
4,0.702,0.234,0.414,0.0391,0.144,0.0476,0
1,0.257,0.581,0.503,0.633,0.0881,0.00071,0.21
2,0.191,0.0358,0.933,0.582,0.132,0.231,0
4,0.678,0.584,0.465,0.106,0.299,0.0262,0
4,0.0303,0.617,0.469,0.0921,0,0.254,0.568
1,0.7,0.32,0.038,0.713,0.961,0.0797,0.00094
1,0.906,0.0778,0.0594,0.594,0.892,0.169,0.00122
3,0.556,0.0311,0,0.117,0.672,0.0362,0.655
3,0.478,0,0.591,0.764,0.103,0.0483,0.0383
2,0.434,0.0544,0.612,0.542,0.369,0.358,0
2,0.399,0.0483,0.887,0.708,0.101,0.298,0
4,0.949,0.62,0.11,0.16,0.211,0.0416,0.00001
3,0.304,0.00001,0.561,0.965,0.371,0.0343,0.00383
3,0.579,0.0445,0,0.16,0.61,0.00065,0.864
3,0.149,0.856,0.0708,0,0.66,0.568,0.11
4,0.0344,0.199,0.179,0.107,0.00178,0.976,0.62
1,0.183,0.626,0.731,0.862,0.0805,0,0.125
