mood,speechiness,energy,valence,liveness,instrumentalness,acousticness,danceability
1,0.413,0.404,0.699,0.621,0.0511,0.00003,0.895
1,0.713,0.0904,0.0339,0.784,0.97,0.447,0.14
4,0.259,0.799,0.373,0.166,0.534,0.0558,0
4,0.0369,0.423,0.17,0.0873,0.00186,0.505,0.333
4,0.0467,0.39,0.105,0.0775,0,0.584,0.44
4,0.256,0.67,0.396,0.112,0.358,0.03,0
1,0.0979,0.636,0.565,0.16,0.0319,0.0331,0.0484
2,0.247,0,0.947,0.108,0.0485,0.038,0.41
4,0.0353,0.419,0.529,0.0967,0.329,0.777,0.538
2,0.27,0,0.584,0.322,0.425,0.0333,0.357
1,0.563,0.0733,0.0552,0.631,0.947,0.398,0
1,0.417,0.545,0.545,0.549,0.107,0.00005,0.667
3,0.137,0.75,0.172,0,0.434,0.616,0.0594
4,0.0281,0.621,0.199,0.111,0,0.348,0.413
1,0.544,0.632,0.0442,0.832,0.928,0.201,0.00014
1,0.614,0.518,0.0356,0.511,0.673,0.00423,0.00001
1,0.651,0.105,0.0324,0.692,0.706,0.292,0.00241
1,0.482,0.148,0.0371,0.684,0.749,0.778,0.00035
2,0.0808,0.00042,0.694,0.123,0.355,0.0715,0.657
2,0.403,0.00007,0.538,0.0925,0.623,0.0331,0.532
4,0.0273,0.642,0.299,0.0938,0,0.463,0.59
3,0.308,0.59,0.123,0.00004,0.52,0.766,0.38
1,0.165,0.618,0.633,0.454,0.273,0,0.0435
1,0.828,0.372,0.0394,0.546,0.401,0.719,0.03
1,0.056,0.808,0.487,0.424,0.143,0.0589,0.00205
4,0.873,0.461,0.195,0.11,0.381,0.0352,0
2,0.3,0,0.338,0.139,0.54,0.0528,0.362
4,0.313,0.711,0.292,0.131,0.194,0.037,0
2,0.408,0.192,0.757,0.515,0.622,0.387,0
4,0.0327,0.435,0.343,0.103,0.00031,0.575,0.668
3,0.578,0.105,0,0.0922,0.428,0.00003,0.984
3,0.879,0,0.742,0.713,0.059,0.0303,0.0205
4,0.0298,0.183,0.13,0.106,0.404,0.914,0.569
1,0.299,0.624,0.703,0.808,0.0364,0.00006,0.0156
2,0.323,0.0529,0.912,0.816,0.0916,0.213,0
1,0.576,0.0551,0.0343,0.68,0.893,0.00145,0.0765
2,0.197,0.0404,0.748,0.563,0.0714,0.382,0
2,0.333,0.163,0.728,0.453,0.387,0.383,0
2,0.124,0.00196,0.164,0.113,0.417,0.0338,0.209
1,0.167,0.603,0.913,0.497,0.226,0.0005,0.0272
1,0.652,0.202,0.0427,0.653,0.846,0.13,0.00002
4,0.00586,0.858,0.426,0.0977,0.419,0.0402,0.761
4,0.0335,0.57,0.273,0.0994,0.00005,0.506,0.743
3,0.135,0.558,0.325,0,0.495,0.847,0.0663
2,0.179,0.035,0.554,0.416,0.075,0.436,0
1,0.642,0.117,0.0594,0.372,0.705,0.0947,0
2,0.0823,0,0.785,0.0906,0.373,0.05,0.667
3,0.824,0.00002,0.711,0.906,0.153,0.0284,0.00952
4,0.0436,0.338,0.927,0.0635,0.0225,0.135,0.84
3,0.536,0.00004,0.818,0.913,0.161,0.0426,0.093
2,0.22,0,0.918,0.137,0.235,0.0303,0.329
4,0.154,0.711,0.517,0.149,0.294,0.0391,0
2,0.479,0,0.308,0.0939,0.543,0.0489,0.696
1,0.271,0.0461,0.091,0.898,0.742,0.0135,0.00138
3,0.121,0.738,0.0446,0,0.477,0.395,0.0552
3,0.781,0,0.624,0.876,0.327,0.1,0.0735
1,0.921,0.812,0.0988,0.595,0.937,0.178,0
3,0.15,0.714,0.352,0,0.842,0.768,0.0401
2,0.384,0.00003,0.28,0.0609,0.672,0.0623,0.301
3,0.679,0.13,0,0.22,0.47,0.0375,0.968
4,0.0311,0.298,0.462,0.365,0.00001,0.718,0.515
2,0.56,0.23,0.203,0.467,0.102,0.573,0
2,0.689,0,0.749,0.264,0.619,0.311,0.609
2,0.509,0.0412,0.797,0.62,0.195,0.379,0
2,0.416,0.0529,0.614,0.456,0.0908,0.615,0
2,0.1,0.0431,0.521,0.408,0.0732,0.338,0.00064
4,0.0243,0.74,0.679,0.105,0.0146,0.242,0.677
4,0.79,0.552,0.347,0.111,0.173,0.0303,0
1,0.66,0.0907,0.0538,0.722,0.906,0.05,0.0009
3,0.592,0.00001,0.763,0.72,0.114,0.0691,0.00261
4,0.0456,0.444,0.695,0.109,0.00015,0.471,0.672
3,0.865,0.00001,0.811,0.719,0.0742,0.0497,0.0129
3,0.334,0.0001,0.514,0.73,0.0897,0.0598,0.00146
4,0.041,0.547,0.774,0.102,0.141,0.42,0.693
3,0.457,0.00152,0.705,0.78,0.115,0.0805,0.456
3,0.457,0,0.637,0.69,0.124,0.0405,0.00786
3,0.162,0.00197,0.545,0.675,0.209,0.0279,0.00617
4,0.04,0.243,0.239,0.111,0,0.815,0.636
1,0.826,0.12,0.098,0.846,0.813,0.0867,0
3,0.143,0.765,0.186,0,0.748,0.738,0.171
3,0.565,0.0386,0,0.316,0.53,0.0545,0.803
4,0.0267,0.236,0.154,0.126,0.00001,0.909,0.626
4,0.0583,0.566,0.424,0.0588,0.00153,0.373,0.454
2,0.592,0.0335,0.603,0.443,0.107,0.409,0
1,0.185,0.666,0.55,0.423,0.0656,0.00763,0.308
3,0.849,0,0.776,0.875,0.314,0.0575,0.0343
1,0.572,0.163,0.0493,0.743,0.675,0.186,0.00001
1,0.688,0.655,0.436,0.412,0.0583,0.00001,0.499
1,0.495,0.0542,0.027,0.737,0.967,0.0588,0.00001
1,0.782,0.0693,0.0369,0.859,0.931,0.154,0.0297
4,0.755,0.369,0.42,0.121,0.257,0.0384,0
2,0.352,0.0645,0.951,0.691,0.0916,0.0682,0
2,0.348,0,0.731,0.696,0.431,0.135,0.726
4,0.0269,0.585,0.523,0.129,0.0725,0.614,0.629
1,0.128,0.492,0.828,0.789,0.0276,0.00428,0.0644
2,0.162,0,0.743,0.0974,0.292,0.0483,0.681
4,0.0507,0.386,0.178,0.108,0.00176,0.411,0.847
4,0.173,0.534,0.538,0.248,0.289,0.0327,0
3,0.183,0.758,0.115,0,0.711,0.78,0.138
3,0.473,0,0.616,0.869,0.064,0.0327,0.0283
2,0.231,0.00003,0.837,0.0983,0.174,0.0315,0.681
3,0.253,0.0271,0.00198,0.301,0.58,0.00085,0.695
2,0.0592,0.0299,0.839,0.567,0.089,0.267,0
2,0.707,0.00002,0.836,0.544,0.437,0.0963,0.773
3,0.722,0,0.707,0.813,0.168,0.0571,0.0863
1,0.161,0.707,0.717,0.206,0.0628,0.00012,0.384
2,0.428,0.032,0.648,0.55,0.249,0.548,0
3,0.094,0.778,0.555,0,0.282,0.693,0.248
1,0.677,0.0902,0.0448,0.634,0.939,0.318,0
4,0.64,0.536,0.426,0.147,0.375,0.123,0.00001
2,0.307,0.0417,0.845,0.543,0.11,0.23,0
3,0.61,0.0994,0,0.146,0.694,0.0411,0.657
4,0.948,0.426,0.224,0.112,0.399,0.0391,0
1,0.199,0.522,0.739,0.214,0.0355,0.00608,0.0174
4,0.687,0.553,0.413,0.0594,0.379,0.0334,0
4,0.895,0.364,0.308,0.123,0.387,0.0402,0.0023
2,0.15,0.0364,0.955,0.436,0.106,0.255,0.00003
3,0.128,0.577,0.137,0,0.447,0.322,0.0512
2,0.696,0,0.0178,0.17,0.728,0.0468,0.701
3,0.403,0,0.788,0.753,0.18,0.0536,0.0038
2,0.363,0.0533,0.499,0.436,0.38,0.409,0.00017
4,0.0839,0.35,0.376,0.378,0.246,0.874,0.558
3,0.662,0.00101,0.52,0.731,0.311,0.0557,0.342
2,0.243,0.657,0.902,0.106,0.225,0.0994,0.704
4,0.0336,0.389,0.143,0.11,0.0775,0.556,0.608
1,0.136,0.828,0.734,0.717,0.033,0.0225,0.398
3,0.129,0.373,0.15,0,0.321,0.269,0.0371
3,0.746,0,0.746,0.754,0.0486,0.0676,0.0152
3,0.463,0,0.742,0.882,0.206,0.117,0.0466
3,0.154,0.795,0.0587,0.00237,0.649,0.773,0.0412
3,0.44,0.0793,0.00004,0.159,0.354,0.00023,0.941
1,0.886,0.295,0.0465,0.603,0.727,0.0418,0.00017
1,0.955,0.874,0.694,0.877,0.0413,0.0963,0.0367
1,0.597,0.0986,0.0337,0.675,0.828,0.0534,0
2,0.222,0,0.0275,0.109,0.595,0.0313,0.516
1,0.12,0.452,0.811,0.556,0.115,0.00305,0.162
1,0.578,0.0983,0.0676,0.611,0.884,0.0598,0.0219
4,0.0356,0.169,0.355,0.116,0.00544,0.823,0.274
1,0.246,0.665,0.711,0.518,0.117,0.00742,0.026
4,0.647,0.761,0.311,0.15,0.553,0.0692,0
1,0.612,0.0783,0.0381,0.682,0.845,0.284,0
4,0.0321,0.411,0.368,0.111,0.272,0.767,0.315
2,0.121,0,0.929,0.0654,0.135,0.0374,0.54
3,0.677,0,0.794,0.793,0.0952,0.0842,0.0125
3,0.682,0.00001,0.56,0.872,0.371,0.14,0.0239
2,0.3,0.0528,0.338,0.362,0.139,0.54,0
4,0.879,0.469,0.27,0.151,0.51,0.0471,0
1,0.355,0.0585,0.0352,0.592,0.499,0.478,0
4,0.711,0.689,0.491,0.172,0.868,0.0317,0
2,0.341,0.611,0.869,0.684,0.0881,0.449,0
3,0.158,0.708,0.00017,0,0.611,0.603,0.0379
2,0.417,0,0.4,0.177,0.53,0.0434,0.63
4,0.913,0.641,0.376,0.107,0.165,0.117,0
4,0.0396,0.582,0.646,0.11,0.736,0.42,0.729
1,0.0939,0.604,0.723,0.562,0.0319,0.00046,0.179
1,0.251,0.72,0.777,0.945,0.0525,0,0.0432
1,0.491,0.229,0.171,0.886,0.971,0.29,0
2,0.528,0.0458,0.962,0.547,0.101,0.222,0.00009
1,0.0655,0.536,0.569,0.656,0.0819,0,0.554
3,0.18,0.655,0.304,0,0.749,0.623,0.203
2,0.185,0.0673,0.869,0.537,0.0976,0.17,0
3,0.526,0.00005,0.602,0.843,0.0682,0.0593,0.00069
4,0.0395,0.824,0.408,0.136,0.155,0.0846,0.475
2,0.483,0.0296,0.77,0.508,0.0887,0.417,0.0928
1,0.588,0.351,0.0735,0.618,0.768,0.0128,0.0266
4,0.118,0.592,0.588,0.138,0.336,0.0405,0
1,0.624,0.307,0.0842,0.514,0.755,0.513,0.00517
1,0.641,0.0867,0.0799,0.774,0.875,0.0765,0
1,0.167,0.474,0.658,0.553,0.284,0,0.675
4,0.0289,0.397,0.181,0.124,0.00025,0.286,0.596
4,0.0393,0.728,0.246,0.0741,0.00005,0.339,0.608
4,0.0385,0.6,0.254,0.172,0,0.739,0.427
2,0.116,0.0763,0.389,0.391,0.102,0.335,0
4,0.78,0.562,0.403,0.094,0.548,0.0361,0
2,0.274,0,0.161,0.108,0.415,0.052,0.55
1,0.0246,0.776,0.705,0.366,0.0445,0,0.0643
1,0.127,0.98,0.428,0.423,0.443,0,0.0734
4,0.842,0.633,0.491,0.172,0.234,0.0336,0
1,0.0589,0.701,0.871,0.716,0.0458,0.00001,0.257
1,0.846,0.0355,0.0467,0.661,0.911,0.129,0.00001
2,0.27,0.0333,0.584,0.357,0.322,0.425,0
2,0.234,0.0367,0.518,0.637,0.124,0.513,0
1,0.643,0.538,0.0365,0.595,0.73,0.76,0
1,0.827,0.199,0.0369,0.77,0.888,0.298,0.00036
4,0.0243,0.407,0.223,0.0927,0.637,0.902,0.574
3,0.464,0.00002,0.754,0.763,0.0901,0.0435,0.0301
4,0.0287,0.458,0.17,0.118,0.00012,0.691,0.472
1,0.581,0.147,0.065,0.691,0.91,0.557,0.00005
1,0.705,0.0269,0.0329,0.818,0.965,0.413,0
3,0.638,0.696,0.00144,0.00001,0.227,0.474,0.0273
1,0.499,0.111,0.0685,0.397,0.367,0.0766,0
4,0.735,0.598,0.295,0.107,0.314,0.0276,0
2,0.335,0.0427,0.805,0.551,0.0977,0.268,0
3,0.625,0.04,0.00029,0.213,0.673,0.00093,0.721
3,0.672,0.0583,0.00006,0.0797,0.502,0.00648,0.967
4,0.229,0.581,0.687,0.109,0.187,0.105,0
1,0.308,0.444,0.821,0.672,0.0812,0.0188,0.15
1,0.769,0.335,0.0606,0.344,0.923,0.261,0.00012
2,0.441,0.0533,0.618,0.56,0.31,0.473,0
3,0.183,0.836,0.0568,0.00062,0.445,0.716,0.161
1,0.562,0.105,0.0281,0.749,0.807,0.215,0
2,0.238,0,0.863,0.167,0.121,0.0396,0.306
3,0.0564,0.62,0.0172,0,0.745,0.802,0.199
1,0.623,0.0295,0.042,0.685,0.896,0.228,0.00234
4,0.0358,0.12,0.176,0.162,0.00002,0.899,0.363
1,0.56,0.0535,0.0621,0.877,0.969,0.156,0.00014
1,0.0714,0.525,0.878,0.694,0.0578,0,0.183
3,0.7,0,0.703,0.747,0.396,0.0895,0.283
4,0.0487,0.557,0.616,0.108,0,0.604,0.773
3,0.542,0,0.673,0.758,0.341,0.158,0.039
2,0.318,0,0.59,0.0931,0.382,0.0497,0.412
3,0.104,0.504,0.261,0.00001,0.275,0.82,0.141
3,0.931,0,0.663,0.857,0.144,0.0544,0.0542
4,0.358,0.69,0.582,0.0776,0.448,0.0333,0
2,0.393,0.0674,0.214,0.4,0.0656,0.641,0
3,0.0716,0.828,0.0247,0,0.916,0.725,0.0332
4,0.0541,0.734,0.687,0.327,0.172,0.0777,0.732
4,0.443,0.688,0.53,0.0995,0.162,0.0333,0
2,0.0397,0,0.214,0.101,0.643,0.0485,0.51
1,0.607,0.128,0.0283,0.593,0.953,0.147,0
4,0.0467,0.546,0.286,0.374,0.0986,0.68,0.225
1,0.912,0.279,0.0675,0.698,0.797,0.0145,0.0225
4,0.764,0.44,0.376,0.118,0.309,0.0337,0.00169
2,0.299,0,0.0635,0.141,0.602,0.0325,0.336
2,0.37,0,0.746,0.188,0.292,0.0323,0.5
1,0.658,0.197,0.0354,0.541,0.881,0.517,0
3,0.426,0.0495,0,0.0784,0.507,0.00029,0.975
1,0.672,0.135,0.0323,0.686,0.857,0.7,0
3,0.452,0,0.722,0.851,0.108,0.0639,0.0319
1,0.21,0.936,0.567,0.804,0.327,0,0.0403
2,0.466,0.0304,0.555,0.676,0.0951,0.461,0
1,0.683,0.35,0.086,0.789,0.882,0.48,0
3,0.112,0.08,0.00001,0.382,0.515,0.0011,0.992
3,0.475,0.0664,0.00098,0.559,0.61,0.00944,0.821
1,0.107,0.715,0.72,0.357,0.04,0.0568,0.258
3,0.632,0,0.818,0.803,0.153,0.0797,0.034
1,0.711,0.0813,0.0472,0.63,0.659,0.299,0
4,0.685,0.443,0.314,0.118,0.369,0.0339,0
3,0.486,0.0421,0,0.433,0.566,0.0122,0.936
2,0.12,0,0.934,0.095,0.296,0.0333,0.351
4,0.833,0.392,0.574,0.145,0.529,0.17,0.00179
2,0.693,0.00001,0.551,0.102,0.422,0.0678,0.573
4,0.222,0.66,0.39,0.108,0.265,0.0519,0
4,0.547,0.729,0.546,0.0651,0.406,0.0285,0.00287
4,0.0597,0.674,0.729,0.12,0.0001,0.345,0.854
4,0.0277,0.597,0.639,0.0946,0.00123,0.124,0.599
4,0.0347,0.323,0.472,0.118,0.00002,0.714,0.508
2,0.352,0.129,0.356,0.587,0.0812,0.453,0.00205
2,0.104,0,0.874,0.107,0.153,0.0479,0.439
4,0.682,0.683,0.346,0.278,0.457,0.0785,0
2,0.237,0.0464,0.792,0.497,0.308,0.278,0
4,0.0441,0.152,0.294,0.0907,0.00001,0.93,0.493
1,0.212,0.893,0.586,0.65,0.439,0.642,0.827
3,0.501,0.00009,0.772,0.685,0.131,0.0696,0.019
2,0.131,0.04,0.695,0.445,0.0944,0.537,0.00002
2,0.157,0.00036,0.807,0.0792,0.307,0.0428,0.576
3,0.587,0.0455,0,0.074,0.772,0.0201,0.75
1,0.58,0.1,0.0446,0.596,0.884,0.256,0
1,0.161,0.617,0.732,0.445,0.038,0,0.216
4,0.958,0.398,0.174,0.158,0.153,0.0364,0
2,0.205,0,0.274,0.088,0.518,0.0303,0.631
2,0.261,0.0446,0.587,0.548,0.121,0.474,0
3,0.625,0.042,0,0.0585,0.546,0.0122,0.619
4,0.355,0.374,0.344,0.0966,0.216,0.0304,0
4,0.0749,0.514,0.683,0.392,0.575,0.0367,0
4,0.391,0.671,0.463,0.162,0.347,0.0439,0
1,0.249,0.513,0.7,0.637,0.0698,0.00005,0.684
3,0.879,0,0.715,0.791,0.0694,0.0414,0.0368
4,0.0366,0.109,0.388,0.144,0.00054,0.948,0.319
2,0.198,0.00004,0.978,0.0897,0.111,0.0972,0.367
4,0.0277,0.387,0.274,0.13,0.00756,0.239,0.762
1,0.656,0.324,0.0556,0.803,0.926,0.0934,0
4,0.0407,0.747,0.45,0.17,0.329,0.0919,0
4,0.0503,0.35,0.404,0.11,0.00001,0.791,0.555
3,0.658,0.0547,0.00001,0.625,0.411,0.00577,0.95
3,0.444,0.0204,0.719,0.847,0.223,0.0916,0.00201
2,0.506,0,0.0526,0.0936,0.715,0.0904,0.715
3,0.152,0,0.596,0.854,0.124,0.463,0.0169
2,0.548,0.0361,0.78,0.562,0.094,0.403,0
3,0.131,0.562,0.183,0,0.777,0.806,0.139
2,0.493,0.00002,0.529,0.0766,0.485,0.0361,0.677
1,0.841,0.103,0.0319,0.758,0.849,0.0544,0.00015
3,0.556,0,0.672,0.655,0.117,0.0311,0.0362
3,0.382,0.00068,0.788,0.844,0.0723,0.0334,0.25
2,0.296,0.036,0.942,0.512,0.106,0.204,0
3,0.502,0,0.504,0.785,0.239,0.104,0.0738
4,0.0891,0.502,0.391,0.144,0,0.41,0.656
3,0.542,0.00007,0.835,0.669,0.0535,0.0643,0.0336
4,0.0355,0.322,0.453,0.093,0.00053,0.613,0.389
2,0.324,0.0335,0.83,0.508,0.093,0.43,0.00044
4,0.586,0.321,0.49,0.0644,0.279,0.0295,0
4,0.0438,0.221,0.702,0.0946,0,0.666,0.625
3,0.475,0.0699,0,0.671,0.616,0.00131,0.868
3,0.135,0.77,0.129,0,0.545,0.708,0.105
3,0.624,0,0.722,0.761,0.315,0.0475,0.0117
1,0.568,0.0792,0.0672,0.588,0.952,0.16,0
4,0.752,0.675,0.604,0.111,0.456,0.193,0
3,0.465,0.119,0.631,0.927,0.148,0.0332,0.199
3,0.66,0.0711,0,0.0779,0.635,0.0825,0.66
3,0.648,0,0.638,0.832,0.113,0.049,0.141
3,0.673,0,0.682,0.72,0.148,0.0381,0.326
1,0.337,0.772,0.718,0.843,0.0529,0,0.298
1,0.719,0.118,0.032,0.799,0.772,0.308,0.00109
4,0.792,0.565,0.255,0.0986,0.121,0.0322,0
4,0.901,0.508,0.29,0.105,0.287,0.0298,0
2,0.142,0,0.694,0.115,0.303,0.0398,0.585
2,0.28,0.0555,0.834,0.573,0.108,0.17,0
2,0.137,0,0.8,0.249,0.267,0.0339,0.481
4,0.0605,0.437,0.647,0.128,0.0756,0.635,0.774
4,0.0325,0.601,0.233,0.0813,0.00011,0.327,0.676
3,0.755,0.0436,0.00004,0.31,0.691,0.00438,0.841
4,0.0754,0.479,0.177,0.15,0.00002,0.322,0.549
3,0.914,0.0626,0,0.094,0.704,0.00176,0.819
4,0.263,0.681,0.453,0.0543,0.348,0.0278,0
3,0.818,0.757,0.035,0,0.507,0.771,0.2
2,0.102,0.279,0.969,0.639,0.369,0.038,0.544
2,0.227,0.0565,0.854,0.824,0.174,0.3,0
2,0.403,0.0331,0.538,0.532,0.0925,0.623,0.00007
3,0.441,0,0.494,0.951,0.327,0.132,0.00057
1,0.0973,0.649,0.535,0.796,0.205,0.00024,0.71
2,0.238,0,0.104,0.0631,0.607,0.0574,0.529
1,0.0797,0.668,0.698,0.719,0.0322,0.00003,0.251
4,0.499,0.438,0.435,0.118,0.433,0.0442,0
3,0.354,0,0.612,0.862,0.0907,0.037,0.041
3,0.384,0.0485,0,0.137,0.467,0.00018,0.893
3,0.666,0.128,0,0.081,0.776,0.0622,0.78
1,0.103,0.778,0.711,0.827,0.0897,0,0.0273
4,0.0272,0.245,0.286,0.109,0.534,0.862,0.686
2,0.348,0,0.965,0.0889,0.0565,0.0534,0.71
