mood,liveness,energy,acousticness,instrumentalness,valence,danceability,speechiness
3,0.879,0,0.742,0.713,0.059,0.0303,0.0205
3,0.969,0,0.866,0.813,0.0779,0.0554,0.38
3,0.478,0,0.591,0.764,0.103,0.0483,0.0383
3,0.546,0,0.737,0.846,0.0486,0.22,0.00614
3,0.463,0,0.742,0.882,0.206,0.117,0.0466
3,0.152,0,0.596,0.854,0.124,0.463,0.0169
3,0.781,0,0.624,0.876,0.327,0.1,0.0735
3,0.162,0.00197,0.545,0.675,0.209,0.0279,0.00617
3,0.26,0.000373,0.468,0.779,0.101,0.0779,0.112
3,0.328,0,0.279,0.742,0.593,0.0898,0.000185
3,0.662,0.00101,0.52,0.731,0.311,0.0557,0.342
3,0.746,0,0.746,0.754,0.0486,0.0676,0.0152
3,0.816,0,0.751,0.783,0.036,0.0859,0.00379
3,0.471,1.14E-05,0.461,0.834,0.14,0.0989,0.0232
3,0.847,0,0.641,0.922,0.0862,0.0786,0.0291
3,0.556,0,0.672,0.655,0.117,0.0311,0.0362
3,0.502,0,0.504,0.785,0.239,0.104,0.0738
3,0.575,0.000478,0.73,0.777,0.0691,0.0496,0.105
3,0.104,1.65E-06,0.628,0.593,0.096,0.0323,0.093
3,0.643,0.0012,0.532,0.783,0.161,0.0523,0.0038
3,0.452,0,0.621,0.82,0.104,0.0367,0.332
3,0.876,1.02E-06,0.691,0.795,0.156,0.0355,0.000812
3,0.624,0,0.722,0.761,0.315,0.0475,0.0117
3,0.66,2.28E-06,0.783,0.58,0.108,0.0408,0.0114
3,0.213,0.000596,0.495,0.894,0.103,0.0441,0.00453
3,0.452,0,0.722,0.851,0.108,0.0639,0.0319
3,0.526,5.27E-05,0.602,0.843,0.0682,0.0593,0.000688
3,0.742,0,0.72,0.763,0.18,0.0523,0.406
3,0.655,0,0.687,0.785,0.203,0.0333,0.327
3,0.648,0,0.638,0.832,0.113,0.049,0.141
3,0.867,0,0.726,0.698,0.309,0.0431,0.049
3,0.673,0,0.682,0.72,0.148,0.0381,0.326
3,0.61,0,0.743,0.766,0.509,0.0265,0.0873
3,0.542,0,0.673,0.758,0.341,0.158,0.039
3,0.537,2.79E-05,0.807,0.893,0.366,0.0347,0.0451
3,0.865,1.36E-05,0.811,0.719,0.0742,0.0497,0.0129
3,0.304,7.07E-06,0.561,0.965,0.371,0.0343,0.00383
3,0.441,0,0.494,0.951,0.327,0.132,0.000569
3,0.801,0.000125,0.711,0.7,0.215,0.046,0.00498
3,0.403,0,0.788,0.753,0.18,0.0536,0.0038
3,0.721,1.06E-05,0.765,0.837,0.0801,0.032,0.00107
3,0.682,6.98E-06,0.56,0.872,0.371,0.14,0.0239
3,0.654,0,0.663,0.861,0.082,0.109,0.0338
3,0.6,0.00138,0.735,0.766,0.108,0.0383,0.025
3,0.571,0,0.646,0.741,0.312,0.034,0.0275
3,0.942,0,0.647,0.8,0.334,0.165,0.0647
3,0.457,0,0.637,0.69,0.124,0.0405,0.00786
3,0.861,0,0.706,0.841,0.0688,0.0418,7.95E-05
3,0.87,0,0.691,0.823,0.134,0.0623,0.487
3,0.592,2.19E-05,0.791,0.862,0.0814,0.11,0.037
3,0.896,0,0.774,0.753,0.0371,0.0517,0.152
3,0.458,4.64E-05,0.545,0.78,0.0828,0.0436,0.0309
3,0.334,9.54E-05,0.514,0.73,0.0897,0.0598,0.00146
3,0.714,0,0.755,0.837,0.289,0.142,0.0991
3,0.769,0,0.678,0.918,0.0744,0.0355,0.000417
3,0.724,0,0.721,0.802,0.694,0.0583,0.0921
3,0.592,1.11E-05,0.763,0.72,0.114,0.0691,0.00261
3,0.465,0.119,0.631,0.927,0.148,0.0332,0.199
3,0.743,0,0.687,0.761,0.147,0.0876,0.102
3,0.638,1.71E-05,0.789,0.706,0.0586,0.0429,0.112
3,0.474,0,0.632,0.773,0.0885,0.0346,0.0623
3,0.695,0,0.759,0.459,0.0788,0.0948,0.00323
3,0.346,0,0.555,0.772,0.105,0.0523,0.315
3,0.276,9.86E-06,0.583,0.732,0.269,0.0457,0.00312
3,0.605,0,0.731,0.853,0.268,0.0363,0.0352
3,0.354,0,0.612,0.862,0.0907,0.037,0.041
3,0.704,0,0.73,0.861,0.213,0.0451,0.39
3,0.565,6.66E-05,0.737,0.636,0.35,0.0437,0.0441
3,0.931,0,0.663,0.857,0.144,0.0544,0.0542
3,0.473,0,0.616,0.869,0.064,0.0327,0.0283
3,0.879,0,0.715,0.791,0.0694,0.0414,0.0368
3,0.221,0,0.654,0.655,0.139,0.106,0.0294
3,0.494,0.000127,0.776,0.808,0.103,0.117,0.0297
3,0.726,0,0.703,0.81,0.216,0.0424,0.000315
3,0.803,0.00762,0.671,0.916,0.24,0.0397,0.0282
3,0.444,0.0204,0.719,0.847,0.223,0.0916,0.00201
3,0.924,0.025,0.774,0.838,0.242,0.114,0.0249
3,0.714,5.24E-05,0.696,0.921,0.0842,0.0363,0.00314
3,0.457,0.00152,0.705,0.78,0.115,0.0805,0.456
3,0.437,0,0.608,0.86,0.262,0.0554,0.0991
3,0.891,0,0.768,0.864,0.162,0.0324,0.101
3,0.536,3.69E-05,0.818,0.913,0.161,0.0426,0.093
3,0.698,3.78E-06,0.696,0.793,0.18,0.097,0.0683
3,0.801,8.99E-06,0.773,0.747,0.109,0.0885,0.0242
3,0.722,0,0.707,0.813,0.168,0.0571,0.0863
3,0.684,0.00286,0.706,0.89,0.306,0.0688,0.0588
3,0.774,0,0.52,0.849,0.119,0.186,0.00253
3,0.886,0,0.637,0.93,0.452,0.0511,0.0177
3,0.7,0,0.703,0.747,0.396,0.0895,0.283
3,0.849,0,0.776,0.875,0.314,0.0575,0.0343
3,0.824,1.64E-05,0.711,0.906,0.153,0.0284,0.00952
3,0.632,0,0.818,0.803,0.153,0.0797,0.034
3,0.372,1.90E-06,0.623,0.734,0.145,0.107,0.0162
3,0.542,6.92E-05,0.835,0.669,0.0535,0.0643,0.0336
3,0.501,8.96E-05,0.772,0.685,0.131,0.0696,0.019
3,0.462,0,0.534,0.87,0.241,0.0425,0.000334
3,0.382,0.000678,0.788,0.844,0.0723,0.0334,0.25
3,0.464,2.23E-05,0.754,0.763,0.0901,0.0435,0.0301
3,0.677,0,0.794,0.793,0.0952,0.0842,0.0125
