mood,speechiness,energy,valence,liveness,instrumentalness,acousticness,danceability
4,0.0371,0.505,0.542,0.228,0.00367,0.504,0.468
4,0.0265,0.281,0.182,0.0907,0.000164,0.88,0.541
4,0.712,0.677,0.401,0.116,0.195,0.0308,0
4,0.443,0.688,0.53,0.0995,0.162,0.0333,0
4,0.818,0.546,0.311,0.107,0.246,0.0288,1.65E-05
4,0.161,0.55,0.415,0.108,0.274,0.052,0
4,0.833,0.392,0.574,0.145,0.529,0.17,0.00179
4,0.263,0.681,0.453,0.0543,0.348,0.0278,0
4,0.962,0.424,0.437,0.664,0.131,0.0355,0.336
4,0.79,0.552,0.347,0.111,0.173,0.0303,2.15E-06
4,0.0758,0.345,0.625,0.112,0.336,0.0444,0
4,0.882,0.591,0.416,0.112,0.415,0.0246,0.000641
4,0.929,0.54,0.135,0.0654,0.121,0.0374,0
4,0.0749,0.514,0.683,0.392,0.575,0.0367,2.64E-06
4,0.371,0.443,0.533,0.128,0.201,0.0396,0
4,0.697,0.53,0.346,0.105,0.359,0.0376,1.07E-05
4,0.707,0.718,0.467,0.126,0.396,0.0398,6.92E-05
4,0.648,0.6,0.535,0.162,0.269,0.107,4.70E-06
4,0.171,0.958,0.376,0.127,0.331,0.0523,0
4,0.709,0.49,0.352,0.114,0.166,0.0254,0.0856
4,0.313,0.711,0.292,0.131,0.194,0.037,0
4,0.832,0.483,0.361,0.098,0.307,0.0738,4.66E-06
4,0.678,0.584,0.465,0.106,0.299,0.0262,0
4,0.948,0.426,0.224,0.112,0.399,0.0391,0
4,0.0407,0.747,0.45,0.17,0.329,0.0919,0
4,0.711,0.689,0.491,0.172,0.868,0.0317,0
4,0.682,0.494,0.632,0.0869,0.0797,0.0342,0
4,0.626,0.466,0.496,0.117,0.352,0.0302,6.22E-06
4,0.726,0.715,0.194,0.36,0.367,0.0329,1.14E-06
4,0.0266,0.738,0.482,0.106,0.352,0.0402,0.621
4,0.853,0.708,0.211,0.131,0.362,0.0424,0
4,0.687,0.553,0.413,0.0594,0.379,0.0334,2.33E-06
