mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
2,0.717,0.671,0.0337,0.0018,2.54E-06,0.0921,0.699
2,0.695,0.573,0.106,0.46,0.0734,0.482,0.408
2,0.719,0.922,0.0338,0.523,0.000163,0.0867,0.964
2,0.645,0.795,0.0527,0.347,0.00389,0.104,0.535
2,0.442,0.612,0.112,0.584,5.70E-06,0.37,0.178
2,0.508,0.378,0.0473,0.516,0,0.119,0.161
2,0.74,0.415,0.0707,0.242,0.000156,0.319,0.156
2,0.576,0.627,0.0449,0.0385,0,0.181,0.311
2,0.769,0.724,0.0864,0.548,0,0.161,0.464
2,0.631,0.503,0.0371,0.404,0,0.116,0.514
2,0.386,0.592,0.374,0.363,0,0.117,0.161
2,0.661,0.651,0.0499,0.117,1.32E-05,0.056,0.368
2,0.824,0.624,0.0827,0.781,0.000189,0.1,0.248
2,0.606,0.819,0.049,0.00298,0,0.0702,0.744
2,0.562,0.437,0.052,0.219,2.18E-05,0.0806,0.15
2,0.64,0.593,0.0431,0.32,0,0.104,0.432
2,0.674,0.595,0.0365,0.358,0,0.146,0.207
2,0.878,0.64,0.0591,0.142,0,0.0981,0.658
2,0.562,0.765,0.21,0.613,0,0.0774,0.707
2,0.602,0.735,0.0337,0.00196,4.77E-05,0.105,0.472
2,0.871,0.372,0.0413,0.253,1.60E-06,0.104,0.608
2,0.473,0.655,0.0373,0.069,1.12E-06,0.144,0.295
2,0.675,0.523,0.0444,0.761,3.17E-06,0.109,0.376
2,0.839,0.525,0.131,0.0303,0,0.302,0.831
2,0.617,0.38,0.0361,0.018,0,0.112,0.192
2,0.654,0.636,0.0391,0.117,0.00179,0.0919,0.392
2,0.81,0.305,0.0902,0.28,0.000116,0.203,0.732
2,0.681,0.783,0.18,0.0262,0,0.206,0.323
2,0.668,0.618,0.0607,0.125,0,0.112,0.389
2,0.737,0.564,0.105,0.436,0,0.351,0.528
2,0.691,0.906,0.171,0.072,0,0.299,0.657
2,0.668,0.687,0.058,0.0157,0.000822,0.149,0.468
2,0.707,0.562,0.0567,0.105,0,0.0999,0.525
2,0.721,0.457,0.159,0.308,0,0.258,0.63
2,0.546,0.733,0.0299,0.0399,1.11E-06,0.235,0.91
2,0.556,0.771,0.0372,0.0619,0,0.153,0.437
2,0.768,0.896,0.0969,0.0152,0,0.0412,0.829
2,0.723,0.64,0.0389,0.122,5.06E-06,0.204,0.456
2,0.795,0.576,0.0289,0.0787,1.01E-05,0.121,0.847
2,0.563,0.859,0.0617,0.00341,0,0.0888,0.351
2,0.691,0.409,0.0376,0.376,0.000224,0.145,0.21
2,0.721,0.666,0.0408,0.0687,0,0.045,0.739
2,0.715,0.778,0.0365,0.0152,0,0.121,0.756
2,0.579,0.783,0.0453,0.00979,0.244,0.116,0.69
2,0.547,0.703,0.0278,0.0776,1.81E-06,0.1,0.385
2,0.781,0.532,0.0374,0.351,0,0.0629,0.332
2,0.612,0.544,0.0666,0.408,0,0.0998,0.694
2,0.618,0.692,0.0804,0.175,0.00031,0.0715,0.714
2,0.55,0.557,0.0356,0.475,0,0.116,0.111
2,0.628,0.524,0.0347,0.103,0.00387,0.111,0.373
2,0.572,0.621,0.0336,0.543,2.19E-06,0.124,0.35
2,0.682,0.642,0.0825,0.391,0.000271,0.107,0.387
2,0.63,0.781,0.0406,0.152,0.000247,0.289,0.188
2,0.445,0.83,0.0885,0.0303,0.000117,0.261,0.135
2,0.322,0.127,0.0352,0.894,5.99E-05,0.143,0.119
2,0.488,0.195,0.0325,0.775,0,0.104,0.336
2,0.503,0.123,0.0327,0.868,2.56E-05,0.111,0.343
2,0.249,0.0712,0.0333,0.979,0.000316,0.102,0.175
2,0.425,0.249,0.0355,0.87,0.00175,0.124,0.235
2,0.577,0.151,0.0278,0.93,7.01E-05,0.116,0.174
2,0.363,0.16,0.0385,0.934,0,0.0753,0.0994
2,0.605,0.316,0.0319,0.869,2.87E-05,0.14,0.344
2,0.572,0.0946,0.0327,0.787,2.27E-05,0.13,0.176
2,0.331,0.234,0.0372,0.9,0,0.124,0.222
2,0.733,0.277,0.0315,0.806,6.39E-06,0.207,0.411
2,0.434,0.386,0.0339,0.932,0,0.0944,0.558
2,0.467,0.0346,0.0311,0.942,3.65E-05,0.108,0.139
2,0.531,0.219,0.0331,0.718,0.361,0.129,0.121
2,0.595,0.184,0.0331,0.795,0,0.15,0.106
2,0.534,0.164,0.0287,0.936,2.70E-05,0.157,0.274
2,0.513,0.218,0.037,0.817,3.31E-06,0.105,0.253
2,0.338,0.0879,0.0721,0.971,5.39E-06,0.111,0.129
2,0.342,0.214,0.045,0.897,0,0.0927,0.257
2,0.405,0.315,0.204,0.764,0,0.103,0.247
2,0.636,0.235,0.0324,0.842,0.00093,0.126,0.138
2,0.543,0.3,0.0322,0.883,0,0.101,0.368
2,0.522,0.152,0.0303,0.788,2.37E-05,0.148,0.133
2,0.783,0.348,0.0337,0.808,0,0.201,0.616
2,0.688,0.338,0.0364,0.745,0,0.0877,0.467
2,0.542,0.129,0.0598,0.938,0,0.0817,0.477
2,0.601,0.171,0.0346,0.942,1.64E-05,0.0903,0.239
2,0.557,0.243,0.0319,0.796,0,0.152,0.665
2,0.542,0.214,0.0415,0.957,0.00025,0.0936,0.226
2,0.737,0.223,0.0478,0.919,0.000395,0.103,0.509
2,0.565,0.209,0.0327,0.896,0,0.125,0.352
2,0.411,0.238,0.0386,0.855,1.15E-05,0.13,0.55
2,0.693,0.111,0.0379,0.937,1.47E-06,0.0858,0.247
2,0.512,0.177,0.0467,0.9,0,0.116,0.346
2,0.418,0.199,0.0294,0.761,2.59E-06,0.113,0.221
2,0.321,0.179,0.0332,0.743,1.26E-05,0.0846,0.329
2,0.639,0.411,0.0285,0.82,0,0.151,0.621
2,0.326,0.123,0.0355,0.977,0,0.116,0.193
2,0.295,0.406,0.0317,0.867,0,0.353,0.102
2,0.461,0.199,0.0392,0.791,1.43E-06,0.112,0.309
2,0.605,0.197,0.0251,0.754,1.90E-05,0.104,0.185
2,0.531,0.144,0.0359,0.94,0,0.103,0.346
2,0.561,0.195,0.0359,0.769,0,0.106,0.332
2,0.461,0.0768,0.0341,0.958,0.851,0.108,0.0789
2,0.634,0.208,0.0396,0.944,0,0.128,0.362
2,0.344,0.188,0.0323,0.866,0.000612,0.178,0.339
2,0.52,0.171,0.0413,0.917,0.483,0.0953,0.0396
2,0.703,0.11,0.0354,0.941,0,0.0895,0.695
2,0.425,0.239,0.0549,0.868,0,0.193,0.201
2,0.653,0.223,0.0316,0.934,0,0.104,0.38
2,0.479,0.126,0.0303,0.966,0,0.113,0.279
2,0.527,0.182,0.0613,0.821,0,0.124,0.206
2,0.431,0.209,0.0475,0.811,0,0.112,0.174
2,0.603,0.15,0.0464,0.958,0,0.133,0.361
2,0.497,0.116,0.0328,0.96,0,0.113,0.369
2,0.64,0.198,0.0292,0.651,4.68E-05,0.0985,0.142
2,0.571,0.17,0.0311,0.956,7.89E-06,0.105,0.269
2,0.572,0.318,0.0313,0.524,0,0.0892,0.286
2,0.337,0.0886,0.0375,0.923,0.0744,0.106,0.0503
2,0.45,0.325,0.0321,0.873,2.24E-06,0.112,0.225
2,0.639,0.198,0.0403,0.949,4.21E-05,0.104,0.38
2,0.586,0.256,0.0309,0.761,0,0.113,0.0826
2,0.561,0.303,0.0283,0.776,0,0.103,0.233
2,0.439,0.217,0.0413,0.933,0,0.126,0.373
2,0.606,0.406,0.0287,0.459,8.49E-06,0.248,0.281
2,0.585,0.204,0.0494,0.752,0,0.0974,0.33
2,0.359,0.208,0.036,0.943,0,0.0931,0.105
2,0.712,0.324,0.0322,0.838,0.201,0.104,0.431
2,0.526,0.128,0.0361,0.913,7.83E-06,0.107,0.365
2,0.414,0.303,0.0412,0.879,0,0.0979,0.349
2,0.724,0.282,0.0354,0.878,9.46E-05,0.109,0.478
2,0.363,0.123,0.034,0.948,0.000362,0.111,0.194
2,0.643,0.193,0.0331,0.928,0,0.11,0.259
2,0.596,0.195,0.0264,0.926,0,0.139,0.176
2,0.547,0.0711,0.0332,0.943,1.25E-06,0.183,0.109
2,0.619,0.226,0.0641,0.959,4.42E-05,0.106,0.188
2,0.692,0.2,0.0316,0.915,1.62E-06,0.132,0.384
2,0.494,0.214,0.0363,0.92,1.07E-05,0.107,0.35
2,0.614,0.217,0.0369,0.868,0,0.0922,0.195
2,0.69,0.204,0.0301,0.932,1.73E-06,0.119,0.525
2,0.311,0.295,0.0344,0.671,0,0.102,0.34
2,0.545,0.264,0.042,0.818,0,0.106,0.44
2,0.718,0.233,0.035,0.839,1.47E-06,0.106,0.23
2,0.49,0.221,0.0534,0.918,8.50E-06,0.658,0.292
2,0.723,0.265,0.0371,0.906,1.07E-05,0.21,0.482
2,0.794,0.38,0.0477,0.762,0,0.262,0.617
2,0.486,0.18,0.0565,0.917,0,0.128,0.54
2,0.699,0.189,0.0469,0.944,0,0.103,0.328
2,0.636,0.293,0.0311,0.879,6.95E-06,0.116,0.55
2,0.53,0.0776,0.0462,0.937,0,0.122,0.282
2,0.687,0.203,0.0345,0.936,3.61E-05,0.109,0.151
2,0.675,0.15,0.0314,0.714,0,0.115,0.413
2,0.617,0.188,0.0563,0.805,0,0.368,0.281
2,0.44,0.371,0.0352,0.82,0.00118,0.248,0.316
2,0.621,0.145,0.0327,0.729,0,0.12,0.185
2,0.446,0.143,0.0594,0.846,0.125,0.093,0.278
2,0.454,0.124,0.0316,0.873,0.0015,0.113,0.394
2,0.453,0.206,0.0305,0.925,6.42E-05,0.0937,0.0565
2,0.521,0.0841,0.0398,0.923,1.22E-05,0.0993,0.219
2,0.664,0.177,0.0335,0.856,0,0.136,0.29
2,0.351,0.296,0.0333,0.934,0,0.095,0.12
2,0.479,0.545,0.0688,0.365,0,0.0963,0.244
2,0.362,0.54,0.0528,0.338,0,0.139,0.3
2,0.5,0.292,0.0323,0.746,0,0.188,0.37
2,0.609,0.619,0.311,0.749,0,0.264,0.689
2,0.445,0.537,0.04,0.695,1.65E-05,0.0944,0.131
2,0.629,0.328,0.029,0.768,2.50E-05,0.103,0.389
2,0.522,0.385,0.0288,0.536,0,0.135,0.236
2,0.662,0.714,0.121,0.312,0,0.179,0.464
2,0.501,0.405,0.0319,0.751,0,0.105,0.446
2,0.71,0.0565,0.0534,0.965,0,0.0889,0.348
2,0.357,0.425,0.0333,0.584,0,0.322,0.27
2,0.667,0.373,0.05,0.785,0,0.0906,0.0823
2,0.726,0.431,0.135,0.731,0,0.696,0.348
2,0.681,0.292,0.0483,0.743,0,0.0974,0.162
2,0.614,0.379,0.0476,0.607,0.000464,0.0986,0.201
2,0.773,0.437,0.0963,0.836,2.42E-05,0.544,0.707
2,0.688,0.53,0.0333,0.443,0,0.0995,0.162
2,0.544,0.369,0.038,0.969,0.279,0.639,0.102
2,0.311,0.485,0.0365,0.701,0,0.0726,0.225
2,0.188,0.411,0.0484,0.174,0.153,0.0843,0.159
2,0.329,0.235,0.0303,0.918,0,0.137,0.22
2,0.574,0.329,0.0274,0.22,0,0.0986,0.356
2,0.507,0.204,0.0504,0.855,0,0.143,0.343
2,0.628,0.639,0.0435,0.00162,0,0.354,0.493
2,0.589,0.242,0.0442,0.914,0,0.0887,0.257
2,0.681,0.372,0.0432,0.64,0,0.169,0.476
2,0.376,0.695,0.0933,0.135,0,0.11,0.302
2,0.209,0.417,0.0338,0.164,0.00196,0.113,0.124
2,0.681,0.174,0.0315,0.837,3.35E-05,0.0983,0.231
2,0.586,0.624,0.113,0.0153,1.78E-06,0.133,0.267
2,0.331,0.341,0.0309,0.528,0,0.109,0.152
2,0.338,0.562,0.029,0.039,0,0.107,0.259
2,0.612,0.28,0.0434,0.932,0,0.088,0.387
2,0.63,0.5,0.0611,0.611,4.04E-05,0.114,0.315
2,0.599,0.465,0.0314,0.643,1.57E-06,0.149,0.0678
2,0.492,0.275,0.3,0.687,0,0.101,0.18
2,0.696,0.543,0.0489,0.308,0,0.0939,0.479
2,0.63,0.694,0.0242,0.144,0,0.0835,0.49
2,0.546,0.311,0.0288,0.818,1.65E-05,0.107,0.246
2,0.561,0.0848,0.0404,0.913,2.62E-05,0.112,0.206
2,0.704,0.225,0.0994,0.902,0.657,0.106,0.243
2,0.55,0.415,0.052,0.161,0,0.108,0.274
2,0.677,0.485,0.0361,0.529,2.04E-05,0.0766,0.493
2,0.516,0.595,0.0313,0.0275,0,0.109,0.222
2,0.376,0.595,0.0496,0.303,0,0.095,0.265
2,0.777,0.526,0.0645,0.302,0,0.105,0.389
2,0.657,0.604,0.0296,0.0361,0,0.102,0.0779
2,0.715,0.715,0.0904,0.0526,0,0.0936,0.506
2,0.646,0.355,0.0263,0.873,0,0.115,0.364
2,0.367,0.111,0.0972,0.978,3.97E-05,0.0897,0.198
2,0.512,0.526,0.0251,0.0724,0,0.0675,0.249
2,0.389,0.665,0.0644,0.178,0.000732,0.116,0.199
2,0.532,0.623,0.0331,0.538,7.28E-05,0.0925,0.403
2,0.453,0.146,0.0343,0.867,3.49E-06,0.0945,0.0915
2,0.684,0.449,0.611,0.869,0,0.0881,0.341
